LanguageIdk,CodingScheme,FindingCode,Finding group code,Finding group CUI,Finding group preferred label,Finding group SnomedID,Finding code description,Finding code CUI,Finding code preferred label,Finding code snomed ID,Severity code CUI,Severity code preferred label,Severity code snomed ID
1,AgilentB00      ,AO-0001         ,AO,C0003483,aorta,15825003,Normal size aorta,C0003483,aorta,15825003,C0232357,Normal,45332005
1,AgilentB00      ,AO-0002         ,AO,C0003484,aorta,15825004,Large aorta,C0003483,aorta,15825003,C0549177,Large,255509001
1,AgilentB00      ,AO-0003         ,AO,C0003485,aorta,15825005,Small aorta,C0003483,aorta,15825003,C0700321,Small,255507004
1,AgilentB00      ,AO-0004         ,AO,C0003486,aorta,15825006,Diminutive aorta,C0003483,aorta,15825003,C0205288,Microscopic,84496004
1,AgilentB00      ,AO-0005         ,AO,C0003487,aorta,15825007,Small transverse arch,No match,No match,No match,C0700321,Small,255507004
1,AgilentB00      ,AO-0006         ,AO,C0003488,aorta,15825008,Small distal arch,No match,No match,No match,C0700321,Small,255507004
1,AgilentB00      ,AO-0007         ,AO,C0003489,aorta,15825009,Small aortic isthmus,C4694112,Small aortic isthmus,No match,C0700321,Small,255507004
1,AgilentB00      ,AO-0008         ,AO,C0003490,aorta,15825010,No evidence of coarctation of the aorta,C0003492,coarctation of aorta,7305005,C0332125,No evidence of,41647002
1,AgilentB00      ,AO-0009         ,AO,C0003491,aorta,15825011,"Coarctation of the aorta, unspecified",C0003492,Coarctation of aorta,7305005,C0205370,Unspecified,10003008
1,AgilentB00      ,AO-0010         ,AO,C0003492,aorta,15825012,"Coarctation of the aorta, preductal",C0003492,Coarctation of aorta,7305005,No match,No match,No match
1,AgilentB00      ,AO-0011         ,AO,C0003493,aorta,15825013,Can not rule out coarctation of the aorta in presence of PDA,C0003492,coarctation of aorta,7305005,N / A,N / A,N / A
1,AgilentB00      ,AO-0012         ,AO,C0003494,aorta,15825014,"Coarctation of the aorta, juxtaductal",C0003492,Coarctation of aorta,7305005,No match,No match,No match
1,AgilentB00      ,AO-0013         ,AO,C0003495,aorta,15825015,"Coarctation of the aorta, postductal",C0003492,Coarctation of aorta,7305005,No match,No match,No match
1,AgilentB00      ,AO-0014         ,AO,C0003496,aorta,15825016,Dilatation of the ascending aorta,C0856747,Dilatation of ascending aorta,425963007,N / A,N / A,N / A
1,AgilentB00      ,AO-0015         ,AO,C0003497,aorta,15825017,No aortic root dilatation,C0549113,Aortic root dilatation,251036003,C0332125,No evidence of,41647002
1,AgilentB00      ,AO-0016         ,AO,C0003498,aorta,15825018,_ aortic root dilatation,C0549113,Aortic root dilatation,251036003,N / A,N / A,N / A
1,AgilentB00      ,AO-0017         ,AO,C0003499,aorta,15825019,Aortic aneurysm,C0003486,Aortic aneurysm,155419006,N / A,N / A,N / A
1,AgilentB00      ,AO-0018         ,AO,C0003500,aorta,15825020,Systemic artery hypertension,C0933549,Systemic artery,No match,C0020538,Hypertensive disorder,38341003
1,AgilentB00      ,AO-0019         ,AO,C0003501,aorta,15825021,Normal left aortic arch,C0003489,aortic arch,57034009,C0232357,Normal,45332005
1,AgilentB00      ,AO-0020         ,AO,C0003502,aorta,15825022,Common brachiocephalic trunk,C4021141,Common brachiocephalic trunk,No match,N / A,N / A,N / A
1,AgilentB00      ,AO-0021         ,AO,C0003503,aorta,15825023,Left aortic arch with aberrant right subclavian artery,C2004632,aberrant right subclavian artery,No match,N / A,N / A,N / A
1,AgilentB00      ,AO-0022         ,AO,C0003504,aorta,15825024,Cervical aortic arch,C0345065,Cervical aortic arch,253657003,N / A,N / A,N / A
1,AgilentB00      ,AO-0023         ,AO,C0003505,aorta,15825025,Right aortic arch,C0035615,Right aortic arch,244229003,N / A,N / A,N / A
1,AgilentB00      ,AO-0024         ,AO,C0003506,aorta,15825026,Right aortic arch with mirror image branching,C4025695,Right aortic arch with mirror image branching,No match,N / A,N / A,N / A
1,AgilentB00      ,AO-0025         ,AO,C0003507,aorta,15825027,Right aortic arch with aberrant left subclavian artery,C4021140,Right aortic arch with aberrant left subclavian artery,No match,N / A,N / A,N / A
1,AgilentB00      ,AO-0026         ,AO,C0003508,aorta,15825028,Right aortic arch and right descending thoracic aorta,No match,No match,No match,N / A,N / A,N / A
1,AgilentB00      ,AO-0027         ,AO,C0003509,aorta,15825029,Double aortic arch,C0265883,Double aortic arch,10451007,N / A,N / A,N / A
1,AgilentB00      ,AO-0028         ,AO,C0003510,aorta,15825030,Vascular ring,C0221214,Vascular ring,253659000,N / A,N / A,N / A
1,AgilentB00      ,AO-0029         ,AO,C0003511,aorta,15825031,Post stenotic ascending aorta dilatation,C1299346,Post stenotic dilation (finding),371872009,N / A,N / A,N / A
1,AgilentB00      ,AO-0030         ,AO,C0003512,aorta,15825032,Ascending aortic velocity normal,C1531610,Blood velocity,413673008,C0232357,Normal,45332005
1,AgilentB00      ,AO-0031         ,AO,C0003513,aorta,15825033,Ascending aortic velocity decreased,C1531610,Blood velocity,413673008,C0442797,decreased,260371004
1,AgilentB00      ,AO-0032         ,AO,C0003514,aorta,15825034,Ascending aortic velocity increased,C1531610,Blood velocity,413673008,C0205217,Increased,35105006
1,AgilentB00      ,AO-0033         ,AO,C0003515,aorta,15825035,Descending aortic velocity normal,C1531610,Blood velocity,413673008,C0232357,Normal,45332005
1,AgilentB00      ,AO-0034         ,AO,C0003516,aorta,15825036,Descending aortic velocity decreased,C1531610,Blood velocity,413673008,C0442797,decreased,260371004
1,AgilentB00      ,AO-0035         ,AO,C0003517,aorta,15825037,Descending aortic velocity increased,C1531610,Blood velocity,413673008,C0205217,Increased,35105006
1,AgilentB00      ,AO-0036         ,AO,C0003518,aorta,15825038,_ mean descending aorta gradient,No match,No match,No match,No match,No match,No match
1,AgilentB00      ,AO-0037         ,AO,C0003519,aorta,15825039,_ peak descending aorta gradient,No match,No match,No match,No match,No match,No match
1,AgilentB00      ,AO-0041         ,AO,C0003520,aorta,15825040,No residual coarctation,C0003492,coarctation,7305005,C0520832,Normal functional residual capacity,49035009
1,AgilentB00      ,AO-0042         ,AO,C0003521,aorta,15825041,_ coarctation gradient,C0003492,coarctation,7305005,No match,No match,No match
1,AgilentB00      ,AO-0043         ,AO,C0003522,aorta,15825042,No drag in descending aorta,C0011666,descending aorta,281130003,C0332125,No evidence of,41647002
1,AgilentB00      ,AO-0044         ,AO,C0003523,aorta,15825043,Drag in descending aorta consistent with coarctation of the aorta,No match,No match,No match,No match,No match,No match
1,AgilentB00      ,AO-0045         ,AO,C0003524,aorta,15825044,The aortic root is not well visualized.,C0549113,aortic root,8128003,No match,No match,No match
1,AgilentB00      ,AO-0046         ,AO,C0003525,aorta,15825045,The aortic root is not well visualized but is probably normal size.,C0549113,aortic root,8128003,C0232357,Normal,45332005
1,AgilentB00      ,AO-0047         ,AO,C0003526,aorta,15825046,The aortic root is normal size.,C0549113,aortic root,8128003,C0232357,Normal,45332005
1,AgilentB00      ,AO-0048         ,AO,C0003527,aorta,15825047,_ aortic root dilatation.,C0549113,aortic root,8128003,No match,No match,No match
1,AgilentB00      ,AO-0051         ,AO,C0003528,aorta,15825048,No obvious dissection could be visualized.,C0012737,dissection,122459003,No match,No match,No match
1,AgilentB00      ,AO-0052         ,AO,C0003529,aorta,15825049,Thickened aortic wall visualized in the _ consistent with an intramural hematoma.,C0333200,intramural hematoma,54493002,C0205400,Thickened,263899003
1,AgilentB00      ,AO-0053         ,AO,C0003530,aorta,15825050,Type _ intramural hematoma.,C0333200,intramural hematoma,54493002,N / A,N / A,N / A
1,AgilentB00      ,AO-0054         ,AO,C0003531,aorta,15825051,Type _ aortic dissection.,C0340643,aortic dissection,308546005,N / A,N / A,N / A
1,AgilentB00      ,AO-0055         ,AO,C0003532,aorta,15825052,Intimal flap visualized in the _ consistent with an aortic dissection.,C0340643,aortic dissection,308546005,No match,No match,No match
1,AgilentB00      ,AO-0056         ,AO,C0003533,aorta,15825053,Entry intimal tear visualized.,No match,No match,No match,No match,No match,No match
1,AgilentB00      ,AO-0057         ,AO,C0003534,aorta,15825054,Exit intimal tear visualized.,No match,No match,No match,No match,No match,No match
1,AgilentB00      ,AO-0058         ,AO,C0003535,aorta,15825055,Aneurysm of the _.,C0002940,Aneurysm,85659009,N / A,N / A,N / A
1,AgilentB00      ,AO-0059         ,AO,C0003536,aorta,15825056,_ atherosclerotic plaque(s) in the ascending aorta.,C0333483,Atherosclerotic fibrous plaque,20717008,C0003956,ascending aorta,54247002
1,AgilentB00      ,AO-0060         ,AO,C0003537,aorta,15825057,_ atherosclerotic plaque(s) in the aortic arch.,C0333483,Atherosclerotic fibrous plaque,20717008,C0003489,aortic arch,57034009
1,AgilentB00      ,AO-0061         ,AO,C0003538,aorta,15825058,_ atherosclerotic plaque(s) in the descending aorta.,C0333483,Atherosclerotic fibrous plaque,20717008,C0011666,descending aorta,281130003
1,AgilentB00      ,AO-0062         ,AO,C0003539,aorta,15825059,Fixed mural thrombus (thrombi) in _.,C0333205,mural thrombus,51670003,C0443218,Fixed,261010008
1,AgilentB00      ,AO-0063         ,AO,C0003540,aorta,15825060,Mobile mural thrombus (thrombi) in _.,C0333205,mural thrombus,51670003,C0577537,Moveable,300824007
1,AgilentB00      ,AO-0065         ,AO,C0003541,aorta,15825061,The aortic Sinus(es) of Valsalva are _ dilated.,C3164718,Dilatation of aortic sinus of Valsalva,448905005,C0700124,dilated,255381004
1,AgilentB00      ,AO-0066         ,AO,C0003542,aorta,15825062,Sinus of Valsalva aneurysm.,C2239253,Sinus of Valsalva aneurysm,54160000,N / A,N / A,N / A
1,AgilentB00      ,AO-0067         ,AO,C0003543,aorta,15825063,Ruptured Sinus of Valsalva aneurysm.,C0265019,Ruptured sinus of Valsalva,21379009,N / A,N / A,N / A
1,AgilentB00      ,AO-0068         ,AO,C0003544,aorta,15825064,_ dilated ascending aorta.,C0003956,ascending aorta,54247002,C1531687,Dilated segment,413996005
1,AgilentB00      ,AO-0069         ,AO,C0003545,aorta,15825065,_ dilated aortic arch.,C0003489,aortic arch,57034009,C1531687,Dilated segment,413996005
1,AgilentB00      ,AO-0070         ,AO,C0003546,aorta,15825066,_ dilated descending aorta.,C0011666,descending aorta,281130003,C1531687,Dilated segment,413996005
1,AgilentB00      ,AO-0071         ,AO,C0003547,aorta,15825067,_ dilated abdominal aorta.,C0003484,abdominal aorta,7832008,C1531687,Dilated segment,413996005
1,AgilentB00      ,AO-0072         ,AO,C0003548,aorta,15825068,There is an overriding aortic root.,C0265886,Overriding aorta,63934006,N / A,N / A,N / A
1,AgilentB00      ,AO-0073         ,AO,C0003549,aorta,15825069,Coronary artery fistula is suggested.,C2939120,Coronary artery fistula,11433004,N / A,N / A,N / A
1,AgilentB00      ,AO-0074         ,AO,C0003550,aorta,15825070,No Doppler or imaging evidence of an aortic coarctation.,C0003492,aortic coarctation,7305005,C0332125,No evidence of,41647002
1,AgilentB00      ,AO-0076         ,AO,C0003551,aorta,15825071,Aortic coarctation is present.,C0003492,Aortic coarctation,7305005,C0150312,Present,52101004
1,AgilentB00      ,AT-0001         ,AT,C0225836,atrial septum,58095006,Intact atrial septum,C0225836,atrial septum,58095006,C0205266,Intact,11163003
1,AgilentB00      ,AT-0002         ,AT,C0225837,atrial septum,58095007,Patent foramen ovale,C0016522,Patent foramen ovale,78902000,N / A,N / A,N / A
1,AgilentB00      ,AT-0003         ,AT,C0225838,atrial septum,58095008,Small secundum atrial septal defect vs. patent foramen ovale,C0016522,secundum atrial septal defect,78902000,C0700321,Small,255507004
1,AgilentB00      ,AT-0004         ,AT,C0225839,atrial septum,58095009,"Atrial septal defect, unspecified",C0018817,Atrial septal defect,69524004,C0205370,Unspecified,10003008
1,AgilentB00      ,AT-0005         ,AT,C0225840,atrial septum,58095010,"_ atrial septal defect, secundum type",C0344724,Ostium secundum type atrial septal defect,204315000,N / A,N / A,N / A
1,AgilentB00      ,AT-0006         ,AT,C0225841,atrial septum,58095011,"_ atrial septal defect, primum type",C0018817,atrial septal defect,69524004,No match,No match,No match
1,AgilentB00      ,AT-0007         ,AT,C0225842,atrial septum,58095012,"_ atrial septal defect, coronary sinus type",C0344733,Atrial septal defect through coronary sinus orifice,253371000,N / A,N / A,N / A
1,AgilentB00      ,AT-0008         ,AT,C0225843,atrial septum,58095013,"_ atrial septal defect, superior vena cava sinus venosus type",C0344731,Sinus venosus defect with overriding superior vena cava,253369000,N / A,N / A,N / A
1,AgilentB00      ,AT-0009         ,AT,C0225844,atrial septum,58095014,"_ atrial septal defect, inferior vena cava sinus venosus type",C0344732,Sinus venosus defect with overriding inferior vena cava,253370004,N / A,N / A,N / A
1,AgilentB00      ,AT-0010         ,AT,C0225845,atrial septum,58095015,Aneurysm of septum primum,C0002940,Aneurysm,85659009,No match,No match,No match
1,AgilentB00      ,AT-0011         ,AT,C0225846,atrial septum,58095016,Common atrium,C0392482,Common atrium,69524004,N / A,N / A,N / A
1,AgilentB00      ,AT-0012         ,AT,C0225847,atrial septum,58095017,"Atrial septal defect, device visualized",C0018817,Atrial septal defect,69524004,No match,No match,No match
1,AgilentB00      ,AT-0013         ,AT,C0225848,atrial septum,58095018,"Atrial septal defect, balloon septostomy",C0018817,Atrial septal defect,69524004,No match,No match,No match
1,AgilentB00      ,AT-0014         ,AT,C0225849,atrial septum,58095019,"Atrial septal defect, fenestrated septum primum",C0018817,Atrial septal defect,69524004,No match,No match,No match
1,AgilentB00      ,AT-0015         ,AT,C0225850,atrial septum,58095020,"Atrial septal defect, multiple",C0018817,Atrial septal defect,69524004,C0439064,Multiple,255204007
1,AgilentB00      ,AT-0016         ,AT,C0225851,atrial septum,58095021,The interatrial septum is intact with no evidence for an atrial septal defect.,C0018817,Atrial septal defect,69524004,C0332125,No evidence of,41647002
1,AgilentB00      ,AT-0021         ,AT,C0225852,atrial septum,58095022,The discontinuity of the interatrial septum is suggestive of an atrial septal defect.,C0018817,Atrial septal defect,69524004,No match,No match,No match
1,AgilentB00      ,AT-0028         ,AT,C0225853,atrial septum,58095023,The interatrial septum bows toward right atrium consistent with elevated left atrial pressure.,C0225836,interatrial septum,58095006,No match,No match,No match
1,AgilentB00      ,AT-0029         ,AT,C0225854,atrial septum,58095024,The atrial septum is aneurysmal.,C0225836,atrial septum,58095006,C0439651,Aneurysmal,255378009
1,AgilentB00      ,AT-0030         ,AT,C0225855,atrial septum,58095025,Interatrial septal thickening is noted.,No match,No match,No match,C0205400,thickening,82806002
1,AgilentB00      ,AT-0032         ,AT,C0225856,atrial septum,58095026,Lipomatous hypertrophy of the interatrial septum is noted.,C2242664,Lipomatous hypertrophy of interatrial septum,460621005,N / A,N / A,N / A
1,AgilentB00      ,AV-0001         ,AV,C0003501,aortic valve,34202007,Normal tricuspid aortic valve,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0002         ,AV,C0003502,aortic valve,34202008,Normal aortic valve annulus,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0003         ,AV,C0003503,aortic valve,34202009,Large aortic valve annulus,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0004         ,AV,C0003504,aortic valve,34202010,Small aortic valve annulus,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0005         ,AV,C0003505,aortic valve,34202011,Sub-aortic conus,C0003483,aortic,15825003,C0003483,aortic,15825003
1,AgilentB00      ,AV-0006         ,AV,C0003506,aortic valve,34202012,Aortic valve atresia,C0265843,Aortic valve atresia,51442005,C0265843,Aortic valve atresia,51442005
1,AgilentB00      ,AV-0007         ,AV,C0003507,aortic valve,34202013,Aortic valve stenosis,C0003507,Aortic valve stenosis,390722003,C0003507,Aortic valve stenosis,390722003
1,AgilentB00      ,AV-0008         ,AV,C0003508,aortic valve,34202014,Prosthetic aortic valve,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0009         ,AV,C0003509,aortic valve,34202015,Thickened aortic valve leaflets,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0010         ,AV,C0003510,aortic valve,34202016,Doming aortic valve leaflets,C0003501,aortic valve,34202007,C0003501,aortic valve,34202007
1,AgilentB00      ,AV-0011         ,AV,C0003511,aortic valve,34202017,Bicuspid aortic valve,C0149630,Bicuspid aortic valve,72352009,C0149630,Bicuspid aortic valve,72352009
1,AgilentB00      ,AV-0012         ,AV,C0003512,aortic valve,34202018,Bicommissural aortic valve,C3278660,Bicommissural aortic valve,No match,C3278660,Bicommissural aortic valve,No match
1,AgilentB00      ,AV-0013         ,AV,C0003513,aortic valve,34202019,"Bicommissural aortic valve, _ fusion",C3278660,Bicommissural aortic valve,No match,C3278660,Bicommissural aortic valve,No match
1,AgilentB00      ,AV-0014         ,AV,C0003514,aortic valve,34202020,Unicuspid aortic valve,C0345001,Unicuspid aortic valve,253610004,C0345001,Unicuspid aortic valve,253610004
